,County,State,num_icu_be,irr2010,popOver60,deaths,Total Population,cluster
0,Autauga,Alabama,6.0,0.48,10523,20,55036,1
1,Baldwin,Alabama,44.0,0.44,53519,14,203360,1
2,Barbour,Alabama,5.0,0.53,6150,3,26201,1
3,Blount,Alabama,6.0,0.49,13600,1,57667,1
4,Butler,Alabama,7.0,0.54,5151,32,20126,1
5,Calhoun,Alabama,24.0,0.42,27115,6,115527,1
6,Chilton,Alabama,6.0,0.5,9429,4,43805,1
7,Clay,Alabama,4.0,0.55,3480,2,13407,1
8,Coffee,Alabama,7.0,0.49,11027,4,51073,1
9,Colbert,Alabama,22.0,0.47,14062,8,54435,1
10,Covington,Alabama,13.0,0.52,10290,15,37519,1
11,Cullman,Alabama,12.0,0.47,19667,6,81703,1
12,Dale,Alabama,6.0,0.48,10498,3,49393,1
13,Dallas,Alabama,23.0,0.51,9436,12,40755,1
14,DeKalb,Alabama,12.0,0.48,15782,7,71194,1
15,Elmore,Alabama,5.0,0.46,15929,26,80989,1
16,Escambia,Alabama,14.0,0.51,8677,12,37621,1
17,Etowah,Alabama,40.0,0.42,25122,14,103132,1
18,Fayette,Alabama,8.0,0.54,4604,3,16657,1
19,Franklin,Alabama,7.0,0.51,7054,16,31507,1
20,Geneva,Alabama,6.0,0.52,6716,0,26572,1
21,Houston,Alabama,66.0,0.44,23474,10,104108,1
22,Jackson,Alabama,10.0,0.5,13441,4,52326,1
23,Jefferson,Alabama,281.0,0.31,138161,183,659460,0
24,Lauderdale,Alabama,36.0,0.45,23452,7,92590,1
25,Lawrence,Alabama,6.0,0.51,7710,0,33288,1
26,Lee,Alabama,20.0,0.41,24513,38,156597,1
27,Limestone,Alabama,10.0,0.45,18399,5,91695,1
28,Madison,Alabama,58.0,0.35,70040,14,353213,1
29,Marengo,Alabama,5.0,0.55,5124,11,19743,1
30,Marion,Alabama,8.0,0.52,8196,14,30058,1
31,Marshall,Alabama,20.0,0.45,21466,13,94738,1
32,Mobile,Alabama,76.0,0.37,88103,163,414328,0
33,Monroe,Alabama,8.0,0.54,5536,4,21745,1
34,Montgomery,Alabama,58.0,0.4,44214,121,227120,1
35,Morgan,Alabama,23.0,0.43,26739,7,119157,1
36,Pike,Alabama,9.0,0.51,6441,6,33287,1
37,Russell,Alabama,8.0,0.48,10680,0,58480,1
38,St. Clair,Alabama,6.0,0.47,18943,4,86937,1
39,Shelby,Alabama,32.0,0.4,41610,27,208721,1
40,Talladega,Alabama,14.0,0.46,18842,8,80888,1
41,Tallapoosa,Alabama,6.0,0.5,11006,73,40756,1
42,Tuscaloosa,Alabama,52.0,0.43,36426,56,204424,1
43,Walker,Alabama,12.0,0.48,16386,43,64927,1
44,Winston,Alabama,4.0,0.53,6575,7,23968,1
45,Cochise,Arizona,12.0,0.49,35231,27,126516,1
46,Coconino,Arizona,41.0,0.51,23195,105,138639,1
47,Gila,Arizona,8.0,0.54,18752,16,53145,1
48,La Paz,Arizona,3.0,0.58,9183,7,20477,1
49,Maricopa,Arizona,715.0,0.33,808534,1311,4155501,2
50,Mohave,Arizona,80.0,0.49,73559,102,204691,1
51,Navajo,Arizona,12.0,0.54,24267,147,107902,1
52,Pima,Arizona,287.0,0.41,245814,360,1007257,0
53,Pinal,Arizona,24.0,0.44,100086,93,405537,0
54,Yavapai,Arizona,39.0,0.48,85127,23,220972,1
55,Yuma,Arizona,42.0,0.47,45739,172,204281,1
56,Ashley,Arkansas,6.0,0.54,5094,3,20771,1
57,Baxter,Arkansas,17.0,0.51,15979,0,41093,1
58,Benton,Arkansas,30.0,0.4,44616,23,251823,1
59,Boone,Arkansas,24.0,0.51,9809,1,37212,1
60,Columbia,Arkansas,6.0,0.53,5481,5,23992,1
