county,state,first_case_date
Washakie,Wyoming,2020-03-27
Franklin,Kentucky,2020-03-18
Hancock,Kentucky,2020-03-31
Greenup,Kentucky,2020-04-05
Green,Kentucky,2020-04-07
Grayson,Kentucky,2020-03-25
Graves,Kentucky,2020-03-31
Grant,Kentucky,2020-03-28
Garrard,Kentucky,2020-04-14
Gallatin,Kentucky,2020-04-11
Fulton,Kentucky,2020-04-19
Floyd,Kentucky,2020-03-28
Pottawatomie,Kansas,2020-03-24
Fleming,Kentucky,2020-04-11
Fayette,Kentucky,2020-03-06
Elliott,Kentucky,2020-05-20
Edmonson,Kentucky,2020-03-31
Daviess,Kentucky,2020-03-19
Cumberland,Kentucky,2020-04-02
Crittenden,Kentucky,2020-04-02
Clinton,Kentucky,2020-04-04
Clay,Kentucky,2020-04-19
Hardin,Kentucky,2020-03-22
Harlan,Kentucky,2020-05-07
Harrison,Kentucky,2020-03-08
Hart,Kentucky,2020-04-07
Livingston,Kentucky,2020-04-14
Lincoln,Kentucky,2020-04-02
Lewis,Kentucky,2020-03-29
Letcher,Kentucky,2020-04-05
Leslie,Kentucky,2020-04-05
Lawrence,Kentucky,2020-03-31
Laurel,Kentucky,2020-03-25
Larue,Kentucky,2020-03-27
Knox,Kentucky,2020-04-09
Knott,Kentucky,2020-04-11
Kenton,Kentucky,2020-03-18
Johnson,Kentucky,2020-04-05
Jessamine,Kentucky,2020-03-22
Jefferson,Kentucky,2020-03-08
Jackson,Kentucky,2020-04-08
Hopkins,Kentucky,2020-03-26
Hickman,Kentucky,2020-04-21
Henry,Kentucky,2020-03-31
Henderson,Kentucky,2020-03-19
Clark,Kentucky,2020-03-15
Christian,Kentucky,2020-03-19
Casey,Kentucky,2020-04-14
Wyandotte,Kansas,2020-03-12
Wilson,Kansas,2020-04-17
Wabaunsee,Kansas,2020-04-05
Sumner,Kansas,2020-03-26
Stevens,Kansas,2020-03-29
Stanton,Kansas,2020-04-12
Stafford,Kansas,2020-03-29
Smith,Kansas,2020-04-15
Sherman,Kansas,2020-04-17
Sheridan,Kansas,2020-04-19
Shawnee,Kansas,2020-03-25
Seward,Kansas,2020-04-07
Sedgwick,Kansas,2020-03-19
Scott,Kansas,2020-04-07
Saline,Kansas,2020-03-30
Rooks,Kansas,2020-04-07
Riley,Kansas,2020-03-20
Rice,Kansas,2020-04-23
Republic,Kansas,2020-04-05
Reno,Kansas,2020-03-20
Woodson,Kansas,2020-03-24
Adair,Kentucky,2020-04-05
Carter,Kentucky,2020-04-05
Allen,Kentucky,2020-03-22
Carroll,Kentucky,2020-03-28
Carlisle,Kentucky,2020-04-23
Campbell,Kentucky,2020-03-27
Calloway,Kentucky,2020-03-20
Caldwell,Kentucky,2020-04-04
Butler,Kentucky,2020-03-28
Bullitt,Kentucky,2020-03-27
Breckinridge,Kentucky,2020-03-28
Breathitt,Kentucky,2020-03-22
Bracken,Kentucky,2020-03-28
Boyle,Kentucky,2020-03-28
