State,County,Total Population,num_icu_be,bed_utiliz,potential,pco60,popOver60,percentOver60,popOver60perICU,date,county,state,fips,cases,deaths,days_since_first_case,deaths_per_capita,cases_per_capita,deaths_per_case
Alabama,Autauga,55036,6.0,0.623113,30,0.031870048695399375,10523,19.1,1754.0,2020-05-21,Autauga,Alabama,1001.0,147,3,58,5.450977541972527e-05,0.002670978995566538,0.02040816326530612
Alabama,Baldwin,203360,44.0,1.6579492,24,0.0051583398898505115,53519,26.3,1049.0,2020-05-21,Baldwin,Alabama,1003.0,270,8,68,3.933910306845004e-05,0.0013276947285601889,0.02962962962962963
Alabama,Barbour,26201,5.0,0.43063999999999997,44,0.04694477310026335,6150,23.5,1230.0,2020-05-21,Barbour,Alabama,1005.0,100,1,48,3.8166482195336056e-05,0.0038166482195336054,0.01
Alabama,Blount,57667,6.0,0.499069,0,0.03931191149184109,13600,23.6,2267.0,2020-05-21,Blount,Alabama,1009.0,48,1,57,1.7340940225779042e-05,0.000832365130837394,0.020833333333333332
Alabama,Butler,20126,7.0,0.183251,28,0.03656961144787837,5151,25.6,736.0,2020-05-21,Butler,Alabama,1013.0,321,11,57,0.0005465566928351387,0.015949518036370864,0.03426791277258567
Alabama,Calhoun,115527,24.0,0.809041,73,0.009781263254477309,27115,23.5,1130.0,2020-05-21,Calhoun,Alabama,1015.0,136,3,64,2.5967955542860112e-05,0.0011772139846096584,0.022058823529411766
Alabama,Chilton,43805,6.0,0.285458,4,0.03588631434767721,9429,21.5,1572.0,2020-05-21,Chilton,Alabama,1021.0,84,1,57,2.282844424152494e-05,0.001917589316288095,0.011904761904761904
Alabama,Clay,13407,4.0,0.291126,7,0.06489147460281942,3480,26.0,870.0,2020-05-21,Clay,Alabama,1027.0,27,2,57,0.00014917580368464236,0.0020138733497426717,0.07407407407407407
Alabama,Coffee,51073,7.0,0.23805199999999999,32,0.03083821197110019,11027,21.6,1575.0,2020-05-21,Coffee,Alabama,1031.0,184,1,49,1.9579817124508058e-05,0.0036026863509094824,0.005434782608695652
Alabama,Colbert,54435,22.0,0.517603,63,0.011738771011297878,14062,25.8,639.0,2020-05-21,Colbert,Alabama,1033.0,112,2,57,3.674106732800588e-05,0.002057499770368329,0.017857142857142856
Alabama,Covington,37519,13.0,0.6120129999999999,59,0.021109304618993043,10290,27.4,792.0,2020-05-21,Covington,Alabama,1039.0,62,1,55,2.665316239771849e-05,0.0016524960686585463,0.016129032258064516
Alabama,Cullman,81703,12.0,0.5081720000000001,0,0.020060462896099286,19667,24.1,1639.0,2020-05-21,Cullman,Alabama,1043.0,73,0,62,0.0,0.0008934800435724514,0.0
Alabama,Dale,49393,6.0,0.28824099999999997,12,0.03543012167716073,10498,21.3,1750.0,2020-05-21,Dale,Alabama,1045.0,76,0,50,0.0,0.0015386795699795517,0.0
Alabama,Dallas,40755,23.0,0.4046,66,0.012857318120476016,9436,23.2,524.0,2020-05-21,Dallas,Alabama,1047.0,179,3,57,7.36105999263894e-05,0.004392099128941234,0.01675977653631285
Alabama,DeKalb,71194,12.0,0.292219,37,0.018470657639688737,15782,22.2,1315.0,2020-05-21,DeKalb,Alabama,1049.0,209,3,56,4.21383824479591e-05,0.002935640643874484,0.014354066985645933
Alabama,Elmore,80989,5.0,0.363791,32,0.039338675622615414,15929,19.7,3186.0,2020-05-21,Elmore,Alabama,1051.0,238,7,69,8.643149069626739e-05,0.0029386706836730912,0.029411764705882353
Alabama,Escambia,37621,14.0,0.648198,47,0.016480157358921877,8677,23.1,620.0,2020-05-21,Escambia,Alabama,1053.0,39,3,55,7.974269689800909e-05,0.0010366550596741181,0.07692307692307693
Alabama,Etowah,103132,40.0,0.7193510000000001,124,0.00435364387387038,25122,24.4,449.0,2020-05-21,Etowah,Alabama,1055.0,226,10,57,9.696311523096614e-05,0.002191366404219835,0.04424778761061947
Alabama,Fayette,16657,8.0,0.261309,16,0.02305337095515399,4604,27.6,384.0,2020-05-21,Fayette,Alabama,1057.0,10,0,52,0.0,0.0006003482019571352,0.0
Alabama,Franklin,31507,7.0,0.397819,51,0.031992890468784715,7054,22.4,1008.0,2020-05-21,Franklin,Alabama,1059.0,411,5,59,0.00015869489319833688,0.013044720220903291,0.012165450121654502
Alabama,Geneva,26572,6.0,0.165847,10,0.042111997591449644,6716,25.3,1119.0,2020-05-21,Geneva,Alabama,1061.0,28,0,39,0.0,0.001053740779768177,0.0
Alabama,Houston,104108,66.0,1.388606,93,0.0034195258769739115,23474,22.5,356.0,2020-05-21,Houston,Alabama,1069.0,154,3,59,2.8816229300341952e-05,0.0014792331040842201,0.01948051948051948
